"","PRE_POST","Station","FechayHora","Species","Grupo","Cuando","hora_redondeo","hora"
"183","PRE","E33","04/09/2018 10:23","Gato",1,2018-09-04 10:23:00,2018-09-04 10:00:00,10
"184","PRE","E33","04/09/2018 10:35","Gato",1,2018-09-04 10:35:00,2018-09-04 11:00:00,11
"185","PRE","E33","04/09/2018 10:38","Gato",1,2018-09-04 10:38:00,2018-09-04 11:00:00,11
"186","PRE","E33","04/09/2018 10:44","Gato",1,2018-09-04 10:44:00,2018-09-04 11:00:00,11
"187","PRE","E33","04/09/2018 10:47","Gato",1,2018-09-04 10:47:00,2018-09-04 11:00:00,11
"188","PRE","E33","04/09/2018 11:01","Gato",1,2018-09-04 11:01:00,2018-09-04 11:00:00,11
"189","PRE","E33","04/09/2018 11:10","Gato",1,2018-09-04 11:10:00,2018-09-04 11:00:00,11
"190","PRE","E33","04/09/2018 11:17","Gato",1,2018-09-04 11:17:00,2018-09-04 11:00:00,11
"191","PRE","E33","04/09/2018 11:17","Gato",1,2018-09-04 11:17:00,2018-09-04 11:00:00,11
"192","PRE","E33","04/09/2018 11:17","Gato",1,2018-09-04 11:17:00,2018-09-04 11:00:00,11
"193","PRE","E33","04/09/2018 11:57","Gato",1,2018-09-04 11:57:00,2018-09-04 12:00:00,12
"194","PRE","E33","04/09/2018 13:36","Gato",1,2018-09-04 13:36:00,2018-09-04 14:00:00,14
"195","PRE","E33","04/09/2018 13:36","Gato",1,2018-09-04 13:36:00,2018-09-04 14:00:00,14
"196","PRE","E33","04/09/2018 13:36","Gato",1,2018-09-04 13:36:00,2018-09-04 14:00:00,14
"197","PRE","E33","04/09/2018 13:45","Gato",1,2018-09-04 13:45:00,2018-09-04 14:00:00,14
"198","PRE","E33","04/09/2018 14:36","Gato",1,2018-09-04 14:36:00,2018-09-04 15:00:00,15
"199","PRE","E33","04/09/2018 14:48","Gato",1,2018-09-04 14:48:00,2018-09-04 15:00:00,15
"200","PRE","E33","04/09/2018 15:12","Gato",1,2018-09-04 15:12:00,2018-09-04 15:00:00,15
"201","PRE","E33","04/09/2018 17:07","Gato",1,2018-09-04 17:07:00,2018-09-04 17:00:00,17
"202","PRE","E33","04/09/2018 17:13","Gato",1,2018-09-04 17:13:00,2018-09-04 17:00:00,17
"203","PRE","E33","04/09/2018 17:13","Gato",1,2018-09-04 17:13:00,2018-09-04 17:00:00,17
"204","PRE","E33","04/09/2018 17:28","Gato",1,2018-09-04 17:28:00,2018-09-04 17:00:00,17
"205","PRE","E33","04/09/2018 17:41","Gato",1,2018-09-04 17:41:00,2018-09-04 18:00:00,18
